村人	村人（村）【村人陣営】[占:○][霊:○][数:○][狼:×][妖:×][呪:×]\n村人は'村人陣営'です。特別な能力はありませんが\n｢自分が村人である｣ことを知っているという点で他の役職に比べて最も情報をもっています。\n推理に自信がなくとも自身が白くなることで狼の候補を狭めることができます。\n村内にいる｢村人でない者の数(狼や狐など)｣が0になれば勝ちです。\n\n村人は｢推理｣が武器です。｢推理｣するためには今の状況を理解する必要があります。\n編成と手順のページや、人狼メモを活用するといいでしょう。\n\n吊られたり、狼に噛まれたりすると死亡します。\n\n★村人が気をつけること\n\n【自吊り発言】\n｢自分はなんの能力もないので吊っていいよ｣と安易に発言してはいけません。\n村人は｢推理｣し｢生き残る｣ことが村の勝利に繋がります。\n\n【非能力者発言】\n｢自分はただの村人です｣と安易に発言してはいけません。\nそういった発言で味方の能力者(狩人など)の潜伏幅を狭めてしまい\n潜伏していた霊能者や狩人を狼に食べられてしまうことがあります。\n霊能者を狼に乗っ取られると負けやすく、狩人が生きていれば勝てる可能性があがります。\n狼に潜伏能力者を見破られない為にもうっかり｢能力がない｣発言をしないようにしましょう。\n\n【寡黙】\nあまりに発言をしないと狼であると疑われます。\nこのひとが怪しい、や、なぜそうなるのか？などなんでも良いので積極的に発言しましょう。\n\n★吊られそうになったら\n\n自分が人間であることは自分が1番よくわかっています。\n自分が人間であり、吊っても'村人陣営にいいことはない'と主張しましょう。\n\n
人狼	人狼（狼）【人狼陣営】[占:●][霊:●][数:○][狼:○][妖:×][呪:×]\n人狼は'人狼'陣営です。このゲームの主役です。\n占われないように、吊られないように、生き残ることだけを考えましょう。\n2人以上いる場合は狼同士で話し合いができます。\n村人の数が人狼の数と同数以下になれば勝ちです。\n\n人狼は自分が村人であると自己暗示をかけ\n能力者を騙ったりしながら、うまく村人を欺きましょう。\n\n人狼は毎晩1人を選び噛み殺すことができます。\n選んだ対象が狩人に守られていたり、妖魔だった場合は失敗します。\n\n吊られた場合にのみ死亡します。\n\n★人狼が気をつけること\n\n【視点漏れ】\n人狼からは'誰が人狼であるか'の答えが見えているので\n視点漏れが増えたり、推理発言が少なくなりがちです。\nそれらしい推理発言を頑張りましょう。\n\n【確定人狼として死なないようにする】\n自分が確定人狼になることで仲間狼まで露見してしまうことがあります。\n死ぬまで人狼では無いフリをし続けるのが基本です。\nセットメッセージ\n管理者 あどみん は 公式アカウント Twister を襲撃します。\n管理者 あどみん は襲撃対象選択を取り消します。\n開始時の編成公開メッセージ直後\nこの村に潜む人狼は、管理者 あどみん、ジャンキー ピノ、執務官 Rain です。\n能力発動メッセージ\n管理者 あどみん 達は、人狼猫 アイナス を襲撃します。\n人狼達は、人狼猫 アイナス を襲撃します。(ランダム)\n管理者 あどみん は、人狼猫 アイナス を襲撃します。\n管理者 あどみん は、人狼猫 アイナス を襲撃します。(ランダム)\n
占い師	占い師（占）【村人陣営】[占:○][霊:○][数:○][狼:×][妖:×][呪:×]\n一日一回、誰か一人を指定して占えます。\nセットした翌日に人間か人狼か知ることができます。狂人は人間として判定されます。\n妖魔を占った場合は判定結果としては村人としてでるものの妖魔はその日の朝に無残な姿で発見されます。\n初日はダミーにセットされていますのでセットを忘れないように気をつけましょう。\nセットメッセージ\n人狼猫 アイナス は 管理者 あどみん を占います。\n人狼猫 アイナス は占い対象選択を取り消します。\n能力発動メッセージ\n人狼猫 アイナス は、管理者 あどみん を占いました。\n管理者 あどみん は 人間のようです。\n人狼猫 アイナス は、携帯戦士 バラぽい を占いました。(ランダム)\n携帯戦士 バラぽい は 人狼のようです。\n邪魔狂人に邪魔された場合\n人狼猫 アイナス は、公式アカウント Twister を占いました。\nしかし何かの力に邪魔されました。\n人狼猫 アイナス は、公式アカウント Twister を占いました。(ランダム)\nしかし何かの力に邪魔されました。\n
霊能者	霊能者（霊）【村人陣営】[占:○][霊:○][数:○][狼:×][妖:×][呪:×]\nその日に処刑された人物が人間であったか人狼であったか霊能判定により知ることができます。\n狂人、妖魔は人間として判定されます。\n能力発動メッセージ(処刑、突然死メッセージ直後)\n管理者 あどみん は 人間 だったようです。\n人狼猫 アイナス は 人狼 だったようです。\n
狂人	狂人（狂）【人狼陣営】[占:○][霊:○][数:○][狼:×][妖:×][呪:×]\n狂ってる人です。\n人狼側に味方しており、人狼側の勝ちが狂人にとっても勝ちになります。\n狼が誰かは分かりません。\n勝敗判定では村側に数えられます。占われても人間と判定されます。\n村オプションで【狂人スイッチ】をONにすると狂人スイッチが表示されます。狂人が生存している場合このスイッチを押さない限り夜は時間いっぱいまであります。\n村オプションで【狂人会話】をONにすると狂人系役職のみの狂鳴会話を使えるようになります。\nセットメッセージ\nリア狂 ドガピン が狂人スウィッチを押しました。\nリア狂 ドガピン が狂人スウィッチを解除しました。\n
狩人	狩人（狩）【村人陣営】[占:○][霊:○][数:○][狼:×][妖:×][呪:×]\nGJとかする人です。\n誰か一人を指定して人狼の襲撃から護衛することができます。護衛対象はその夜の間にのみ襲撃されても死にません。\nこれが成功した時に狩人GJと言ったりします。奇数進行では2回、偶数進行では1回GJが出ると吊り手数が増え村が有利になります。\nセットメッセージ\n大泉 ガガガ は 管理者 あどみん を護衛します。\n大泉 ガガガ は護衛対象選択を取り消します。\n能力発動メッセージ\n大泉 ガガガ は、管理者 あどみん を護衛しています。\n大泉 ガガガ は、管理者 あどみん を護衛しています。(ランダム)\n
共有者	共有者（共）【村人陣営】[占:○][霊:○][数:○][狼:×][妖:×][呪:×]\n何かを共有している人です。村側であることが早々に確定したりします。\nオプションで【凄い共有能力】をONにすると共有者が1人しかいないとき自力で村陣営から1人を相方にします。（村人がいる場合村人を優先）\n相手には開始時にメッセージが飛ばされます。役職は変更されません。\nオプションで【共鳴会話】をONにすると共鳴会話を使えるようになります。\n開始時の編成公開メッセージ直後\n1人の場合\nあなたは凄い共有者です。凄すぎて相方はいません。\n1人の場合（凄い共有能力ON時）\nあなたは凄い共有者です。凄すぎて相方を自力で見つけました。\nあなたと心を共有するのは 妖精 めりー です。\n相手側表示\nあなたと心を共有するのは レアキャラ がんこちゃん です。\n2人以上の場合\nあなたと心を共有するのは、妖精 めりー、管理者 あどみん です。\n
妖魔	妖魔（妖）【妖魔陣営】[占:○][霊:○][数:×][狼:×][妖:○][呪:○]\nただの妖魔です。\n村側でも人狼側でも無い第三陣営です。狼の襲撃を受けても死にません（実質GJ扱い）が、占われると即死します。吊られても死にます。\n妖魔生存中で生存者の構成が村人または人狼の勝利条件を満たした時妖魔の勝ちとなります。\n開始時の編成公開メッセージ直後\nこの村に潜む妖魔は、画像職人 ガリレイ、落ち葉 LEAF、乳首 つかにゃん です。\n
Ｃ国狂人	Ｃ国狂人（Ｃ）【人狼陣営】[占:○][霊:○][数:○][狼:×][妖:×][呪:×]\n囁ける狂人です。\n開始時の編成公開メッセージ直後\nこの村に潜む人狼は、管理者 あどみん、ジャンキー ピノ、執務官 Rain です。\n
狂信者	狂信者（信）【人狼陣営】[占:○][霊:○][数:○][狼:×][妖:×][呪:×]\nだれが狼かわかる狂人です。\n開始時の編成公開メッセージ直後\nこの村に潜む人狼は、管理者 あどみん、ジャンキー ピノ、執務官 Rain です。\n
